Type;Name;Desc;Marque;Gamme;Quantité;Prix vente;Prix revient;Crit 1;Crit 2;Crit 3;Crit 4;Crit 5;Actif;img1;img2;img3;img4;img5;
2;Intel Core i7-14700KF;Avec plus de coeurs et des fréquences plus élevées,les processeurs Intel Core de 14ème génération vous permettent d'en faire plus,sans compromis sur les performances. Ils sont conçus pour répondre à tous vos besoins et pour jouer dans les meilleures conditions.;Intel;i7;20;499;99,8;20;5.6 GHz;125 Watt;;;;https://media.ldlc.com/r1600/ld/products/00/06/07/49/LD0006074904.jpg;https://media.ldlc.com/r1600/ld/products/00/06/07/49/LD0006074904.jpg;;;;
2;AMD Ryzen 9 5900X;Le processeur AMD Ryzen 9 5900X est ce qui se fait de mieux pour le jeu vidéo et le streaming : 12 Cores,24 Threads et GameCache 70 Mo. Sans parler des fréquences natives et boost qui atteignent des sommets pour vous permettre de profiter de vos jeux préférés dans les meilleures conditions.;AMD;Ryzen 9;5;359;71,8;12;4.8 GHz;105 Watt;;;;https://media.ldlc.com/r1600/ld/products/00/05/74/60/LD0005746003_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/74/60/LD0005746004_1.jpg;;;;
2;Intel Core i5-12400F;Avec plus de coeurs et plus de puissance,les processeurs Intel de 12ème génération (Alder Lake) sont prêts pour les jeux nouvelle génération,les cartes graphiques PCI-Express 5.0 ou encore la RAM DDR5. Ils vous permettront de concevoir des machines puissantes pour toutes les tâches.;Intel;i5;6;159;31,8;6;4.4 GHz;65 Watt;;;;https://media.ldlc.com/r1600/ld/products/00/05/91/49/LD0005914928_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/91/49/LD0005914929_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/91/49/LD0005914930_1.jpg;;;
2;AMD Ryzen 7 7800X3D;L'AMD Ryzen 7 7800X3D est le processeur gaming par excellence. Ce CPU Zen 4 ne propose rien de moins que 8 Coeurs physiques et 16 coeurs logiques,des fréquences de 4.2 GHz à 5.0 GHz et 104 Mo de V-Cache pour vous permettre d'atteindre des sommets de performances dans les jeux !;AMD;Ryzen 7;11;459;91,8;8;5 GHz;120 Watt;;;;https://media.ldlc.com/r1600/ld/products/00/06/02/14/LD0006021478.jpg;https://media.ldlc.com/r1600/ld/products/00/06/02/14/LD0006021479.jpg;https://media.ldlc.com/r1600/ld/products/00/06/02/14/LD0006021480.jpg;https://media.ldlc.com/r1600/ld/products/00/06/02/14/LD0006021481.jpg;;
3;Textorm;La RAM Textorm 32 Go (2x 16 Go) DDR4 2666 MHz CL19 est idéale pour l'intégration ou pour réaliser un upgrade PC. Cette mémoire vive abordable et performante fonctionne à une tension nominale de 1.2 Volts et est équipée de radiateurs pour une meilleure dissipation de la chaleur.;Textorm;Textorm;4;81;16,2;DDR4;2666 MHz;2x16 GB;Non;;;https://media.ldlc.com/r1600/ld/products/00/05/75/36/LD0005753605_1_0005753634.jpg;https://media.ldlc.com/r1600/ld/products/00/05/75/36/LD0005753608_1_0005753637.jpg;https://media.ldlc.com/r1600/ld/products/00/05/75/36/LD0005753607_1_0005753636.jpg;https://media.ldlc.com/r1600/ld/products/00/05/75/36/LD0005753606_1_0005753635.jpg;;
3;Fox Spirit Akura RGB;La RAM DDR4 Fox Spirit Akura RGB est idéale pour les configurations de dernière génération Intel et AMD. Performance et fiabilité sont au rendez-vous grâce à un grand radiateur ultra-efficace. Coté design,les LEDs RGB adressables offrent un rendu visuel splendide avec les cartes mères compatibles aRGB (ASUS,Gigabyte,MSI,ASRock).;Fox Spirit;Akura;6;69;13,8;DDR4;3200 MHz;2x8 GB;Oui;;;https://media.ldlc.com/r1600/ld/products/00/05/93/48/LD0005934800_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/93/48/LD0005934801_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/93/48/LD0005934802_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/93/48/LD0005934803_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/93/48/LD0005934804_1.jpg;
3;G.Skill Flare X5 Series Low Profile;Conçue pour les plates-formes AMD AM5 dotées de DDR5,la mémoire DDR5 de la série Flare X5 est conçue pour offrir de hautes performances dans un design discret. Dotée des profils d'overclocking AMD EXPO pour faciliter l'overclocking de la mémoire,les utilisateurs peuvent facilement obtenir des performances overclockées en activant simplement EXPO dans le BIOS sur les systèmes compatibles.;G.Skill;Flare X5 Series;7;153;30,6;DDR5;6000 MHz;2x16 GB;Non;;;https://media.ldlc.com/r1600/ld/products/00/05/98/08/LD0005980835_0005980915_0005980924_0006027434.jpg;https://media.ldlc.com/r1600/ld/products/00/05/98/08/LD0005980836_0005980916_0005980925_0006027435.jpg;https://media.ldlc.com/r1600/ld/products/00/05/98/08/LD0005980837_0005980917_0005980926_0006027437.jpg;;;
3;Crucial ballistix rgb;La mémoire gamer Crucial Ballistix RGB est conçue pour l’overclocking haute performance et convient idéalment aux gamers et aux amateurs de sensations fortes cherchant à repousser les limites. Personnalisez votre machine avec 16 LED RGB réparties en 8 zones sur chaque module et contrôlez l’éclairage et la luminosité à l’aide de logiciels dédiés.Type de DIMM : Unbuffered .;Crucial;Crucial;10;143;28,6;DDR5;4800 MHz;2x16 GB;Non;;;https://media.ldlc.com/r1600/ld/products/00/06/03/78/LD0006037860.jpg;https://media.ldlc.com/r1600/ld/products/00/06/03/78/LD0006037861.jpg;https://media.ldlc.com/r1600/ld/products/00/06/03/78/LD0006037862.jpg;;;
4;ASUS TUF GAMING B760-PLUS WIFI;La carte mère ASUS TUF GAMING B760-PLUS WIFI conçue pour les processeurs Intel Core hybrides de 12ème et 13ème génération est idéale pour l'assemblage d'une configuration gaming puissante.;ASUS;TUF GAMING;3;205;41;DDR5;7200+MT/s;ATX;;;;https://media.ldlc.com/r1600/ld/products/00/06/05/45/LD0006054587.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/45/LD0006054588.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/45/LD0006054590.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/45/LD0006054591.jpg;https://media.ldlc.com/r1600/ld/products/00/06/05/45/LD0006054592.jpg;
4;Gigabyte B550 GAMING X V2;La carte mère Gigabyte B550 GAMING X V2 sera parfaite pour une configuration Gaming de pointe. Conçue pour les processeurs AMD Ryzen à partir de la 3ème génération sur socket AMD AM4,elle propose le PCI-Express 4.0 et la gestion de 128 Go de RAM DDR4.;Gigabyte;B550;2;124;24,8;DDR4;4800+MT/s;ATX;;;;https://media.ldlc.com/r1600/ld/products/00/05/74/39/LD0005743982_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/74/39/LD0005743986_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/74/39/LD0005743985_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/74/39/LD0005743984_1.jpg;https://media.ldlc.com/r1600/ld/products/00/05/74/39/LD0005743983_1.jpg;
